ID,Firstname,Lastname,Sponsor,Notes,Citation
229,Dwight ,Howard,Peak Sports,"2015 Howard inked a deal with Chinese shoe brand Peak in, previuously signed with adidas",
23,Omer,Asik,,,
230,Josh,Huestis,,,
231,R.J.,Hunter,,,
232,Vince,Hunter,,,
233,Serge ,Ibaka,Panini,,
233,Serge ,Ibaka,Dunkin Donuts,,
233,Serge ,Ibaka,Banco Popular,A Puerto Rican Financial services conglomerate ,
233,Serge ,Ibaka,Intel,,
233,Serge ,Ibaka,Nike,,
233,Serge ,Ibaka,Unilever,brand endorsement specifically for indonesian and asian markets,
233,Serge ,Ibaka,MilkPEP,Help promotes and educates the population on milk,
234,Andre ,Igoudala,Nike,,
234,Andre ,Igoudala,Jumia,Serves on board of directors for tech venture Jumia,
234,Andre ,Igoudala,The Sixth Man,Author of memoir that has been a New York Times bestseller,
235,Ersan,Ilyasova,,,
236,Joe,Ingles,,,
237,Andre,Ingram,,,
238,Brandon ,Ingram,Adidas,,
238,Brandon ,Ingram,Prestige wine and Spirits,Brand abbassador ,
239,Kyrie ,Irving,Nike,Irving's Nike shoe is among the NBA's top sellers - only LeBron James outsold him in 2017-18 - and the point guard also graced the cover of 2K18.,
239,Kyrie ,Irving,Pepsi,A viral Pepsi ad campaign featuring Irving as the elderly Uncle Drew eventually led to a 2018 feature film; Irving has partial ownership of the character.,
24,D.J.,Augustin,,,
240,Jonathan,Isaac,,,
241,Wesley,Iwundu,,,
242,Jarrett,Jack,,,
243,Aaron,Jackson,,,
244,Demetrius,Jackson,,,
245,Josh,Jackson,,,
246,Justin,Jackson,,,
247,Reggie,Jackson,,,
248,LeBron ,James,Nike,"2003-2010, annual earnings of 12.9 Million",
248,LeBron ,James,Sprite,"2003-2009, appeared in numerous commercials most famously as an animated figure",
248,LeBron ,James,Upper Deck,"2003-2008, 1 million dollars annually",
248,LeBron ,James,Beats Electronics,"2008- Present, 4 million annually and routinely wears them during NBA activities",
248,LeBron ,James,State Farm insurance,2008-Present,
248,LeBron ,James,Upper Deck,"2008-Present, Renegotiated deal for increased commisions on percentage sales, 1 million annually",
248,LeBron ,James,Sprite ,Renegotiated deal to increase annual earnings to 2.5 million annually in 2009,
248,LeBron ,James,McDonalds ,"2010-2013, 4.5 million annual earnings",
248,LeBron ,James,Nike,"2010-2015 , 20 million annual salary",
248,LeBron ,James,Audemar Piguet,"2011-Present, 4 million per year",
248,LeBron ,James,Dunkin Donuts,"2012- Present, ",
248,LeBron ,James,Samsung,"2012-2017, consumer electronics giant with global brand endorsement",
248,LeBron ,James,McDonalds ,"2013-2015, renegotiated deal but official annual earnings not reported.",
248,LeBron ,James,Blaze Pizza,own 14 Blaze Pizza franchises in Chicago and seven in South Florida. He is also an investor and paid endorser for the company.,
248,LeBron ,James,Nike,"2015- Present, 30 Million per year lifetime contract. ",
248,LeBron ,James,Verizon ,"2016-2019, 3 million annually",
248,LeBron ,James,Intel,"2017-Presnt, 4.5 Million Annually",
248,LeBron ,James,Rimowa,"brand endorser, primarily modeling and social media influencing",
248,LeBron ,James,Springhill Entertainment,"his very own production company, inked deals with HBO",
248,LeBron ,James,Uninterupted,His very own media company engaging in barbersop talks with prominent figures.,
248,LeBron ,James,Ladder,"teamed up with Cindy Crawford, Arnold Schwarzenegger and Lindsey Vonn in 2018 to launch Ladder, a health and wellness company.",
248,LeBron ,James,Lebron James Family Foundation.,opened its first elementary school in 2018 and plans to spend $41 million to send kids to college.,
249,Mike,James,,,
25,Luke,Babbitt,,,
250,Al,Jefferson,,,
251,Richard,Jefferson,,,
252,Brandon,Jennings,,,
253,Jonas,Jerebko,,,
254,Amir,Johnson,,,
255,Brice,Johnson,,,
256,Dakari,Johnson,,,
257,James,Johnson,,,
258,Joe,Johnson,,,
259,Omari,Johnson,,,
26,Dwayne,Bacon,,,
260,Stanley,Johnson,,,
261,Tyler,Johnson,,,
262,Wesley,Johnson,,,
263,Nikola,Jokic,,,
264,Damian,Jones,,,
265,Derrick,Jones,,,
266,Jalen,Jones,,,
267,Tyus,Jones,,,
268,DeAndre ,Jordan,Nike,Deal worth about 1 million,
269,Cory,Joseph,,,
27,Ron,Baker,,,
270,Frank,Kaminsky,,,
271,Enes,Kanter,,,
272,Luke,Kennard,,,
273,Michael,Kidd-Gilchrist,,,
274,Sean,Kilpatrick,,,
275,Maxi,Kleber,,,
276,Furkan,Korkmaz,,,
277,Luke,Kornet,,,
278,Kyle,Korver,,,
279,Kosta,Koufos,,,
28,Wade,Baldwin,,,
280,Kyle ,Kuzma,Nike,,
280,Kyle ,Kuzma,GOAT,a rare sneaker re-selling platform,
281,Mindaugas,Kuzminskas,,,
282,Skal,Labissiere,,,
283,Jeremy,Lamb,,,
284,Shane,Larkin,,,
285,Joffrey,Lauvergne,,,
286,Zach ,Lavine,Adidas,35 million dollar deal,
287,Jake,Layman,,,
288,T.J.,Leaf,,,
289,Courtney,Lee,,,
29,Lonzo ,Ball,Big Baller Brand,,
290,Damion,Lee,,,
291,Walt,Lemon,,,
292,Alex,Len,,,
293,Kawhi,Leonard,,,
294,Meyers,Leonard,,,
295,Jon,Leuer,,,
296,Caris,LeVert,,,
297,DeAndre,Liggins,,,
298,Damian ,Lillard,Panini,,
298,Damian ,Lillard,Hulu,Promotes hulu live sports platform in commercials and interviews,
298,Damian ,Lillard,Adidas,Ten year deal at about a total of 110 million,
299,Jeremy ,Lin,Volvo,"2014, signed endorsement for american arm of swedish automaker",
299,Jeremy ,Lin,Adidas,also signed breif deal in 2014 particularly to attract large asian market overseas,
299,Jeremy ,Lin,Tagheur,,
3,Steven,Adams,,,
30,J.J.,Barea,,,
300,Shaun,Livingston,,,
301,Kevon,Looney,,,
302,Brook,Lopez,,,
303,Robin,Lopez,,,
304,Kevin ,Love,Old Spice,appeared in several commercials prmoting brand,
304,Kevin ,Love,Upper Deck,,
304,Kevin ,Love,Panini,,
304,Kevin ,Love,American Greetings,,
304,Kevin ,Love,Nike,"been wearing their shoes his whole career, in particular the hyperdunk",
305,Kyle ,Lowry,Axe,Axe canada sponsorship who makes regular appearences in vimeo productions,
305,Kyle ,Lowry,Google,Endorses Google home mini,
305,Kyle ,Lowry,Adidas,,
306,Timothe,Luwawu-Cabarrot,,,
307,Tyler,Lydon,,,
308,Trey,Lyles,,,
309,Shelvin,Mack,,,
31,Harrison ,Barnes,Harman International,Brand endorser,
31,Harrison ,Barnes,United Sports Brands,,
31,Harrison ,Barnes,Hy-Vee,Platform to promote health and fitness,
31,Harrison ,Barnes,PepsiCo,,
310,Josh,Magette,,,
311,Ian,Mahinmi,,,
312,Thon,Maker,,,
313,Boban,Marjanovic,,,
314,Lauri,Markkanen,,,
315,Jarell,Martin,,,
316,Frank,Mason,,,
317,Mangok,Mathiang,,,
318,Wesley,Matthews,,,
319,Luc,Moute,,,
32,Will,Barton,,,
320,James,McAdoo,,,
321,Patrick,McCaw,,,
322,CJ ,McCollum,Beats Electronics,wears their products in nba activities,
322,CJ ,McCollum,Moda Health,,
322,CJ ,McCollum,Li Ning,Lucrative shoe deal based out of china,
322,CJ ,McCollum,Panini,,
323,T.J.,McConnell,,,
324,Erik,McCree,,,
325,Chris,McCullough,,,
326,Doug,McDermott,,,
327,JaVale,McGee,,,
328,Rodney,McGruder,,,
329,Trey,McKinney-Jones,,,
33,Nicolas,Batum,,,
330,Alfonzo,McKinnie,,,
331,Ben,McLemore,,,
332,Josh,McRoberts,,,
333,Jodie,Meeks,,,
334,Salah,Mejri,,,
335,Jordan,Mickey,,,
336,Khris,Middleton,,,
337,C.J.,Miles,,,
338,Darius,Miller,,,
339,Malcolm,Miller,,,
34,Jerryd,Bayless,,,
340,Patty,Mills,,,
341,Paul,Millsap,,,
342,Nikola,Mirotic,,,
343,Donovan,Mitchell,Stance,2018,https://www.sportsbusinessdaily.com/Daily/Issues/2018/12/11/Marketing-and-Sponsorship/Stance.aspx
343,Donovan,Mitchell,Adidas,2017,https://thespun.com/acc/louisville/donovan-mitchell-adidas-deal
343,Donovan,Mitchell,Vivint Smart Home,2018,https://www.vivint.com/company/newsroom/press/vivint-smart-home-teams-up-with-donovan-mitchell-and-rudy_gobert_utah_jazz
343,Donovan,Mitchell,BODYARMOR Sports Drink,2019,https://www.slcdunk.com/utah-jazz-social-media-take-note/2019/1/23/18194413/donovan-mitchell-sponsorship-deal-signs-with-bodyarmor-adidas-stance-kobe-bryant
344,Naz,Mitrou-Long,,,
345,Malik,Monk,,,
346,Greg,Monroe,,,
347,Luis,Montero,,,
348,Ben,Moore,,,
349,ETwaun,Moore,,,
35,Aron,Baynes,,,
350,Eric,Moreland,,,
351,Jaylen,Morris,,,
352,Marcus,Morris,,,
353,Markieff,Morris,,,
354,Monte,Morris,,,
355,Johnathan,Motley,,,
356,Timofey,Mozgov,,,
357,Emmanuel,Mudiay,Under Armour,2014,https://www.cbssports.com/college-basketball/news/emmanuel-mudiay-signs-contract-with-under-armour/
358,Shabazz,Muhammad,,,
359,Xavier,Munford,,,
36,Kent,Bazemore,,,
360,Dejounte,Murray,,,
361,Jamal,Murray,,,
362,Mike,Muscala,,,
363,Abdel,Nader,,,
364,Larry,Nance,,,
365,Shabazz,Napier,,,
366,Jameer,Nelson,,,
367,Raul,Neto,,,
368,Georges,Niang,,,
369,Joakim,Noah,Adidas,2014,https://sponsorpitch.com/properties/joakim-noah
37,Bradley,Beal,Panini,,https://www.forbes.com/profile/bradley-beal/#6bcbc6e5a157
37,Bradley,Beal,Nike,2012,https://solecollector.com/news/2012/10/bradley-beal-to-sign-deal-with-nike
37,Bradley,Beal,Old Spice,2011,https://www.forbes.com/profile/bradley-beal/#6bcbc6e5a157
37,Bradley,Beal,Tissot,2019,https://www.forbes.com/profile/bradley-beal/#6bcbc6e5a157
37,Bradley,Beal,PepsiCo,,https://www.forbes.com/profile/bradley-beal/#6bcbc6e5a157
37,Bradley,Beal,Verizon Communications,2018,https://www.forbes.com/profile/bradley-beal/#6bcbc6e5a157
370,Nerlens,Noel,Reebok,2013-2014,https://www.sportsbusinessdaily.com/Daily/Issues/2013/09/16/Marketing-and-Sponsorship/Nerlens-Noel.aspx
371,Lucas,Nogueira,GoDaddy,2017,https://twitter.com/bebe92/status/850744397939474435?lang=en
372,Dirk,Nowitzki,Nike,,https://www.forbes.com/profile/dirk-nowitzki/#3a86defb2060
