GamesPlayed,PPG,APG,RPG,MPG,PER,FG,FT,PlayerID
79,14.3,1.8,9,24,0.505,6.1,2.2,374
70,7.9,1.5,4.7,12,0.499,2.9,1.9,375
36,4.8,0.4,2.6,9.6,0.439,1.9,0.6,376
69,5,1.4,3.4,8.2,0.496,1.7,0.9,377
77,7.1,2.1,6.1,10,0.589,2.9,1.3,378
73,2.7,0.3,2.2,5.2,0.452,0.9,0.3,379
82,22.6,4.5,4.4,36.2,0.527,8.3,3.6,37
26,4.4,0.3,4.6,7.4,0.505,1.8,0.7,380
26,6.4,0.4,2.9,10,0.57,2.8,0.7,381
75,23.1,4.3,5.2,35.8,0.537,8.5,3.9,382
76,11.5,2.7,5.7,16.8,0.58,4.2,1.8,383
1,4,1,4,10,0.4,2,0,384
61,3.9,0.7,2,6,0.57,1.5,0.4,385
81,11.8,1.2,4.5,19.6,0.482,3.9,2.4,386
69,5.4,1.6,4.7,7.6,0.564,2.2,1.1,387
5,2.4,0.6,0.8,5.6,0.357,0.8,0.4,388
1,2,0,1,2,1,1,0,389
62,3.2,0.5,1.1,5.8,0.489,1.2,0.4,38
31,12.6,1.9,4.9,21.4,0.529,5.2,1.3,390
55,7.7,3.5,1.7,14.2,0.472,3.2,1,391
36,7.9,1.9,2.5,13,0.571,3,0.5,392
82,3.9,0.7,2.4,6.4,0.523,1.3,0.5,393
1,2,0,0,4,0.5,1,0,394
64,2.3,0.6,1.1,4,0.492,0.9,0.3,395
58,18.6,7.9,5.4,27.6,0.55,6.3,3.5,396
5,4.2,0,1.8,4,0.8,1.4,1,397
25,8.8,4.5,2.8,17.2,0.486,3.5,0.5,398
44,13,6.3,4,20.8,0.547,5.4,1.6,399
74,13.2,1.7,5.6,21.8,0.528,5.5,1.7,39
76,13.9,1.2,9,18.8,0.629,5.9,2.1,3
11,3.5,1.1,2.5,7.4,0.463,1.5,0.1,400
1,3,2,1,4,0.5,1,1,401
14,0.5,0.4,0.3,1.8,0.154,0.1,0.2,402
20,4.1,0.6,1.9,7.4,0.5,1.4,0.4,403
8,1.8,0.3,2.1,0.8,0.333,0.1,1.5,404
74,7.1,1.9,5.4,10,0.601,3,1.1,405
55,4.3,0.8,4.1,6.6,0.583,1.9,0.5,406
82,6.9,0.7,4.8,9.4,0.66,3.1,0.7,407
23,2,0.4,1.2,4.2,0.316,0.6,0.6,408
77,14.7,2,6.4,23,0.581,5.8,1.4,409
52,11.4,2,1.9,18.6,0.505,3.8,1.9,40
73,13.2,1.7,6.8,22.2,0.52,5.2,1.6,410
48,22.7,1.2,6.6,37,0.489,8.1,4.5,411
79,8.5,1.2,5.6,10.8,0.626,3.2,1.7,412
70,5.5,1.3,1.7,10.6,0.472,2.1,0.5,413
25,1,0.1,0.7,2,0.5,0.4,0,414
3,0.7,0,0,1.4,0.5,0.3,0,415
16,6,1.1,1.7,13.4,0.388,2.2,0.8,416
18,1.2,0.1,1.2,3.6,0.219,0.3,0.4,417
3,1.3,0.3,1,2,0.333,0.3,0.7,418
36,5.6,0.9,4.4,8.4,0.566,2.4,0.8,419
57,4.6,1.8,3.6,6.4,0.627,2,0.5,41
82,16.1,2.6,8,22,0.563,6.1,3.7,420
59,14.5,2.2,6.7,25.8,0.507,6.1,1.4,421
5,5.8,3.6,1,16.8,0.298,2.4,0.8,422
70,17.1,3,2.5,25.2,0.569,5.8,2.8,423
21,3,0.6,1.9,7.2,0.362,1,0.4,424
3,0.7,0.3,0.3,0.6,1,0.3,0,425
81,12.9,2.9,3.5,21.8,0.523,4.9,1.5,426
25,3.5,0.5,1.3,7,0.398,1.2,0.7,427
61,15.1,4,2.4,26.4,0.508,5.6,1.7,428
39,5,1.2,4.7,8.4,0.562,2.2,0.3,429
26,5.2,1.9,2.8,9.8,0.457,2,0.7,42
1,2,0,5,6,0.333,1,0,430
23,4.1,0.7,1.6,7.4,0.506,1.6,0.4,431
65,8.3,8.2,4,15.2,0.518,3.6,0.4,432
16,9.8,1.6,1.8,16.6,0.462,3.6,2.2,433
24,8.7,1.6,3,16,0.476,3.2,1.1,434
80,11.3,2.9,4.7,20,0.491,4,1.4,435
77,13.1,5.3,4.6,21.4,0.476,4.5,2.9,436
48,15.5,5.2,3.9,28,0.481,5.8,2,437
74,11.6,2,7.7,17.8,0.524,4.6,2.3,438
22,4.7,0.4,3.5,7.4,0.574,2,0.5,439
82,6.5,1.6,4.4,11.8,0.508,2.3,0.5,43
78,14.6,2.6,6.7,22.8,0.541,5.2,2.3,440
73,7.2,3.9,3.2,10.6,0.585,2.8,1,441
67,19.4,6.2,3.1,34.2,0.469,7.5,3.4,442
76,8.8,1.1,3.3,13.8,0.59,3.6,0.7,443
38,8.2,0.9,4.2,12.6,0.558,3.1,1.2,444
